,Movie,Release Date_x,Award_date,Release Year
271,Bolt,2008-01-29,2009-02-22,2008.0
272,Kung Fu Panda,2008-06-04,2009-02-22,2008.0
273,Wall Street,1987-12-10,2005-02-27,1987.0
274,The Duchess,2008-09-05,2009-02-22,2008.0
275,Slumdog Millionaire,2008-05-12,2009-02-22,2008.0
276,Australia,2008-11-18,2009-02-22,2008.0
277,Encounters at the End of the World,2007-09-01,2008-02-24,2007.0
278,The Secret Garden,1993-08-13,2005-02-27,1993.0
279,Man on Wire,2008-07-25,2009-02-22,2008.0
280,Trouble the Water,2008-01-20,2009-02-22,2008.0
281,The Conscience of Nhem En,2008-08-22,2009-02-22,2008.0
282,Smile Pinki,2008-12-31,2009-02-22,2008.0
283,Front of the Class,2008-01-01,2009-02-22,2008.0
285,Revanche,2008-05-16,2009-02-22,2008.0
286,Hellboy II: The Golden Army,2008-07-11,2009-02-22,2008.0
287,Defiance,2008-12-31,2009-02-22,2008.0
288,Oktapodi,2007-01-01,2008-02-24,2007.0
289,Presto,2008-06-18,2009-02-22,2008.0
290,This Way Up,2008-04-24,2009-02-22,2008.0
292,Babe: Pig in the City,1998-11-25,2005-02-27,1998.0
293,Iron Man,2008-04-30,2009-02-22,2008.0
294,Wanted,2008-06-19,2009-02-22,2008.0
295,Happy-Go-Lucky,2008-04-18,2009-02-22,2008.0
296,In Bruges,2008-02-08,2009-02-22,2008.0
297,The Nutty Professor,1963-06-04,2005-02-27,1963.0
298,Meeting Matt Damon,2015-09-28,2016-02-28,2015.0
299,Premonition,2007-02-08,2008-02-24,2007.0
300,Coraline,2009-02-05,2010-03-07,2009.0
301,Fantastic Mr. Fox,2009-10-23,2010-03-07,2009.0
302,The Princess and the Frog,2009-12-08,2010-03-07,2009.0
303,The Secret of Kells,2009-02-09,2010-03-07,2009.0
304,Up,2009-05-28,2010-03-07,2009.0
305,Avatar,2009-12-10,2010-03-07,2009.0
306,The Imaginarium of Doctor Parnassus,2009-10-01,2010-03-07,2009.0
307,Sherlock Holmes,2009-12-23,2010-03-07,2009.0
308,The Young Victoria,2009-03-04,2010-03-07,2009.0
309,Harry Potter and the Half-Blood Prince,2009-07-07,2010-03-07,2009.0
310,Bright Star,2009-11-05,2010-03-07,2009.0
311,The Cove,2009-07-31,2010-03-07,2009.0
312,"Food, Inc.",2008-09-07,2009-02-22,2008.0
313,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,2009-10-16,2010-03-07,2009.0
314,Which Way Home,2009-01-31,2010-03-07,2009.0
315,China's Unnatural Disaster: The Tears of Sichuan Province,2009-05-07,2010-03-07,2009.0
316,The Last Truck: Closing of a GM Plant,2009-09-07,2010-03-07,2009.0
317,Music by Prudence,2010-04-01,2011-02-27,2010.0
318,District 9,2009-08-05,2010-03-07,2009.0
319,Ajami,2009-09-17,2010-03-07,2009.0
320,Il Divo,2008-05-28,2009-02-22,2008.0
321,Star Trek,2009-05-06,2010-03-07,2009.0
322,A Serious Man,2009-10-02,2010-03-07,2009.0
323,French Roast,2008-09-30,2009-02-22,2008.0
324,Granny O'Grimm's Sleeping Beauty,2008-01-01,2009-02-22,2008.0
325,Logorama,2009-01-01,2010-03-07,2009.0
326,A Matter of Loaf and Death,2008-12-03,2009-02-22,2008.0
327,The Girl Next Door,2004-04-09,2005-02-27,2004.0
328,Instead of Abracadabra,2008-01-23,2009-02-22,2008.0
329,Miracle Fish,2009-01-16,2010-03-07,2009.0
330,The New Tenants,2009-01-01,2010-03-07,2009.0
331,Transformers: Revenge of the Fallen,2009-06-19,2010-03-07,2009.0
332,In the Loop,2009-01-22,2010-03-07,2009.0
333,Roger Corman: Hollywood's Wild Angel,1978-04-06,2005-02-27,1978.0
334,Comedy Central Roast of James Franco,2013-09-02,2014-03-02,2013.0
335,Natalie Portman: Starting Young,2005-01-11,2006-03-05,2005.0
336,How to Train Your Dragon,2010-03-05,2011-02-27,2010.0
337,Toy Story 3,2010-06-16,2011-02-27,2010.0
338,Alice in Wonderland,2010-03-03,2011-02-27,2010.0
339,Harry Potter and the Deathly Hallows: Part 1,2010-10-17,2011-02-27,2010.0
340,Inception,2010-07-15,2011-02-27,2010.0
341,The Tempest,2010-12-10,2011-02-27,2010.0
342,Exit Through the Gift Shop,2010-01-24,2011-02-27,2010.0
343,Inside Job,2010-10-08,2011-02-27,2010.0
344,Restrepo,2010-06-25,2011-02-27,2010.0
345,Waste Land,2010-01-24,2011-02-27,2010.0
346,Strangers No More,2010-01-01,2011-02-27,2010.0
347,Hævnen,2010-08-26,2011-02-27,2010.0
348,Incendies,2010-09-04,2011-02-27,2010.0
349,Barney's Version,2010-10-26,2011-02-27,2010.0
350,The Way Way Back,2013-06-06,2014-03-02,2013.0
351,The Wolfman,2010-02-11,2011-02-27,2010.0
352,Groundhog Day,1993-02-11,2005-02-27,1993.0
353,The Gruffalo,2009-12-25,2010-03-07,2009.0
354,The Lost Thing,2010-06-03,2011-02-27,2010.0
355,The Crush,1993-04-02,2005-02-27,1993.0
356,Na Wewe,2010-04-25,2011-02-27,2010.0
357,Wish 143,2009-11-19,2010-03-07,2009.0
358,TRON: Legacy,2010-12-10,2011-02-27,2010.0
359,Unstoppable,2010-11-04,2011-02-27,2010.0
360,Salt,2010-07-21,2011-02-27,2010.0
361,Hereafter,2010-10-22,2011-02-27,2010.0
362,Iron Man 2,2010-04-28,2011-02-27,2010.0
363,Another Year,2010-11-05,2011-02-27,2010.0
364,Jean-Luc Cinema Godard,2009-09-30,2010-03-07,2009.0
365,Hearts of Darkness: A Filmmaker's Apocalypse,1991-09-06,2005-02-27,1991.0
366,Nick Nolte: No Exit,2008-01-01,2009-02-22,2008.0
367,Max Von Sydow: Dialogues with The Renter,2012-03-27,2013-02-24,2012.0
368,Une vie de chat,2010-12-13,2011-02-27,2010.0
369,Kung Fu Panda 2,2011-05-25,2012-02-26,2011.0
370,Puss in Boots,2011-10-28,2012-02-26,2011.0
371,Harry Potter and the Deathly Hallows: Part 2,2011-07-07,2012-02-26,2011.0
372,Hugo,2011-11-22,2012-02-26,2011.0
373,Midnight in Paris,2011-05-11,2012-02-26,2011.0
374,War Horse,2011-12-25,2012-02-26,2011.0
375,The Tree of Life,2011-05-18,2012-02-26,2011.0
376,Anonymous,2011-10-21,2012-02-26,2011.0
377,Jane Eyre,2011-03-11,2012-02-26,2011.0
378,W.E.,2011-09-01,2012-02-26,2011.0
379,Hell and Back Again,2011-10-04,2012-02-26,2011.0
380,If a Tree Falls: A Story of the Earth Liberation Front,2011-06-22,2012-02-26,2011.0
381,Paradise Lost 3: Purgatory,2011-10-10,2012-02-26,2011.0
382,Pina,2011-02-24,2012-02-26,2011.0
383,Undefeated,2011-03-13,2012-02-26,2011.0
384,The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,2011-01-01,2012-02-26,2011.0
385,Incident in New Baghdad,2011-04-24,2012-02-26,2011.0
386,Saving Face,2004-09-12,2005-02-27,2004.0
387,The Tsunami and the Cherry Blossom,2011-09-12,2012-02-26,2011.0
389,Monsieur Lazhar,2011-09-10,2012-02-26,2011.0
390,The Adventures of Tintin,2011-10-25,2012-02-26,2011.0
391,Any Given Sunday,1999-12-16,2005-02-27,1999.0
392,La Luna,1979-08-29,2005-02-27,1979.0
393,Pentecost,2011-02-10,2012-02-26,2011.0
397,Tuba Atlantic,2010-02-10,2011-02-27,2010.0
398,Drive,2011-08-06,2012-02-26,2011.0
399,Transformers: Dark of the Moon,2011-06-28,2012-02-26,2011.0
400,Real Steel,2011-09-28,2012-02-26,2011.0
401,Rise of the Planet of the Apes,2011-08-03,2012-02-26,2011.0
402,The Ides of March,2011-09-24,2012-02-26,2011.0
403,Margin Call,2011-09-28,2012-02-26,2011.0
404,Mitch Albom's For One More Day,2007-12-09,2008-02-24,2007.0
405,Alles wegen Robert De Niro,1996-12-04,2005-02-27,1996.0
406,Brave,2012-06-21,2013-02-24,2012.0
407,Frankenweenie,2012-10-04,2013-02-24,2012.0
408,ParaNorman,2012-08-03,2013-02-24,2012.0
409,Wreck-It Ralph,2012-11-01,2013-02-24,2012.0
410,Anna Karenina,2012-09-06,2013-02-24,2012.0
411,Life of Pi,2012-11-20,2013-02-24,2012.0
412,Skyfall,2012-10-25,2013-02-24,2012.0
413,Mirror Mirror,2012-03-15,2013-02-24,2012.0
414,Snow White and the Huntsman,2012-05-30,2013-02-24,2012.0
415,Five Broken Cameras,2011-11-23,2012-02-26,2011.0
416,The Gatekeepers,2012-07-09,2013-02-24,2012.0
417,How to Survive a Plague,2012-09-20,2013-02-24,2012.0
418,The Invisible War,2012-01-20,2013-02-24,2012.0
419,Searching for Sugar Man,2012-06-30,2013-02-24,2012.0
420,Born Innocent,1974-09-10,2005-02-27,1974.0
421,The Shawshank Redemption,1994-09-23,2005-02-27,1994.0
422,Kon-Tiki,2012-08-24,2013-02-24,2012.0
423,Dr. No,1962-10-04,2005-02-27,1962.0
424,Rebelle,2012-02-17,2013-02-24,2012.0
425,Hitchcock,2012-11-22,2013-02-24,2012.0
426,The Hobbit: An Unexpected Journey,2012-11-26,2013-02-24,2012.0
427,Adam and Dog,2013-02-01,2014-03-02,2013.0
428,Fresh Guacamole,2012-03-02,2013-02-24,2012.0
429,Head Over Heels,2001-02-02,2005-02-27,2001.0
430,Paperman,2012-11-02,2013-02-24,2012.0
431,Curfew,2012-01-01,2013-02-24,2012.0
432,Hardcore Henry,2015-09-12,2016-02-28,2015.0
433,The Avengers,2012-04-25,2013-02-24,2012.0
434,Prometheus,2012-05-30,2013-02-24,2012.0
435,Moonrise Kingdom,2012-05-24,2013-02-24,2012.0
438,The Croods,2013-03-20,2014-03-02,2013.0
439,Despicable Me 2,2013-06-25,2014-03-02,2013.0
440,Frozen,2013-11-27,2014-03-02,2013.0
441,Inside Llewyn Davis,2013-10-06,2014-03-02,2013.0
442,Prisoners,2013-09-18,2014-03-02,2013.0
443,The Great Gatsby,2013-05-10,2014-03-02,2013.0
444,The Invisible Woman,2013-12-25,2014-03-02,2013.0
445,Cutie and the Boxer,2013-08-16,2014-03-02,2013.0
446,Dirty Wars,2013-01-18,2014-03-02,2013.0
448,20 Feet from Stardom,2013-06-14,2014-03-02,2013.0
449,Cavedigger,2013-01-12,2014-03-02,2013.0
450,Karama Has No Walls,2012-03-01,2013-02-24,2012.0
451,The Broken Circle Breakdown,2012-10-09,2013-02-24,2012.0
452,The Great American Beauty Contest,1973-02-13,2005-02-27,1973.0
454,The Lone Ranger,2013-07-03,2014-03-02,2013.0
455,The Book Thief,2013-11-08,2014-03-02,2013.0
456,Her,2013-12-18,2014-03-02,2013.0
457,Saving Mr. Banks,2013-11-16,2014-03-02,2013.0
459,Get a Horse!,2013-11-27,2014-03-02,2013.0
460,Mr Hublot,2013-10-14,2014-03-02,2013.0
461,Ava's Possessions,2015-03-16,2016-02-28,2015.0
462,Room on the Broom,2012-12-25,2013-02-24,2012.0
463,Helium,2013-10-01,2014-03-02,2013.0
464,The Voorman Problem,2013-04-25,2014-03-02,2013.0
465,All Is Lost,2013-10-18,2014-03-02,2013.0
466,The Hobbit: The Desolation of Smaug,2013-12-11,2014-03-02,2013.0
467,Lone Survivor,2013-12-24,2014-03-02,2013.0
468,Iron Man 3,2013-04-18,2014-03-02,2013.0
469,Before Midnight,2013-04-05,2014-03-02,2013.0
470,They All Laughed 25 Years Later: Director to Director - A Conversation with Peter Bogdanovich and Wes Anderson,2006-10-17,2007-02-25,2006.0
471,Big Hero 6,2014-10-24,2015-02-22,2014.0
472,The Boxtrolls,2014-09-10,2015-02-22,2014.0
473,How to Train Your Dragon 2,2014-06-12,2015-02-22,2014.0
474,Song of the Sea,2014-09-06,2015-02-22,2014.0
475,The Grand Budapest Hotel,2014-02-26,2015-02-22,2014.0
476,Ida,2013-10-25,2014-03-02,2013.0
477,Mr. Turner,2014-10-31,2015-02-22,2014.0
478,Unbroken,2014-12-25,2015-02-22,2014.0
479,Inherent Vice,2014-12-25,2015-02-22,2014.0
480,Maleficent,2014-05-28,2015-02-22,2014.0
481,Citizenfour,2014-10-24,2015-02-22,2014.0
482,Finding Vivian Maier,2014-03-28,2015-02-22,2014.0
483,Last Days in Vietnam,2014-09-05,2015-02-22,2014.0
484,Salt of the Earth,1954-03-14,2005-02-27,1954.0
485,Virunga,2014-11-07,2015-02-22,2014.0
486,Crisis Hotline: Veterans Press 1,2013-11-11,2014-03-02,2013.0
487,Joanna,2013-06-28,2014-03-02,2013.0
488,White Earth,2013-03-17,2014-03-02,2013.0
489,Leviathan,1989-03-17,2005-02-27,1989.0
490,Timbuktu,2014-12-10,2015-02-22,2014.0
491,Guardians of the Galaxy,2014-07-30,2015-02-22,2014.0
492,Interstellar,2014-11-05,2015-02-22,2014.0
493,Selma,2014-12-25,2015-02-22,2014.0
494,The Bigger Picture,2014-05-21,2015-02-22,2014.0
495,The Dam Keeper,2014-02-06,2015-02-22,2014.0
496,Feast,2014-11-07,2015-02-22,2014.0
497,A Single Life,2014-12-04,2015-02-22,2014.0
498,Boogaloo and Graham,2014-08-01,2015-02-22,2014.0
499,Parvaneh,2012-11-01,2013-02-24,2012.0
500,The Phone Call,2013-10-20,2014-03-02,2013.0
501,The Hobbit: The Battle of the Five Armies,2014-12-10,2015-02-22,2014.0
502,Captain America: The Winter Soldier,2014-03-20,2015-02-22,2014.0
503,Dawn of the Planet of the Apes,2014-06-26,2015-02-22,2014.0
504,X-Men: Days of Future Past,2014-05-15,2015-02-22,2014.0
505,Nightcrawler,2014-10-23,2015-02-22,2014.0
506,Sing Your Song,2012-01-13,2013-02-24,2012.0
507,Busy Bodies,1933-10-07,2005-02-27,1933.0
508,Driven,2001-04-27,2005-02-27,2001.0
509,Anomalisa,2015-12-30,2016-02-28,2015.0
510,Inside Out,2015-06-09,2016-02-28,2015.0
511,Shaun the Sheep Movie,2015-02-05,2016-02-28,2015.0
512,Mad Max: Fury Road,2015-05-13,2016-02-28,2015.0
513,Sicario,2015-09-17,2016-02-28,2015.0
514,Cinderella,2015-03-12,2016-02-28,2015.0
515,Amy,2015-07-03,2016-02-28,2015.0
516,Cartel Land,2015-07-03,2016-02-28,2015.0
517,The Look of Silence,2014-08-30,2015-02-22,2014.0
518,"What Happened, Miss Simone?",2015-01-22,2016-02-28,2015.0
519,Winter on Fire: Ukraine's Fight for Freedom,2015-10-09,2016-02-28,2015.0
520,Body Team 12,2015-04-19,2016-02-28,2015.0
521,"Chau, Beyond the Lines",2015-08-21,2016-02-28,2015.0
522,A Girl in the River: The Price of Forgiveness,2015-10-28,2016-02-28,2015.0
523,Last Day of Freedom,2015-04-11,2016-02-28,2015.0
524,Star Wars: The Force Awakens,2015-12-15,2016-02-28,2015.0
525,Mustang,2015-06-17,2016-02-28,2015.0
527,The Bath Song & More Kids Songs: Super Simple Songs,2015-04-22,2016-02-28,2015.0
528,Prologue,2015-06-01,2016-02-28,2015.0
529,Sanjay's Super Team,2015-11-25,2016-02-28,2015.0
530,World of Tomorrow,2015-03-05,2016-02-28,2015.0
531,Ave Maria,2015-05-18,2016-02-28,2015.0
532,Shok,2015-04-10,2016-02-28,2015.0
533,Stutterer,2015-07-08,2016-02-28,2015.0
534,Ex Machina,2015-01-21,2016-02-28,2015.0
535,Straight Outta Compton,2015-08-13,2016-02-28,2015.0
537,He Got Game,1998-05-01,2005-02-27,1998.0
