,Movie,Box Office,Release Date_x,Award_date,Win or Nominated,Release Year,Release Month
0,Capote,28337516.0,2005-09-30,2006-03-05,W,2005.0,9.0
1,American Hustle,99165609.0,2013-12-12,2014-03-02,N,2013.0,12.0
2,Brokeback Mountain,82970165.0,2005-09-10,2006-03-05,W,2005.0,9.0
3,Walk the Line,119317827.0,2005-09-13,2006-03-05,W,2005.0,9.0
4,"Good Night, and Good Luck.",31500000.0,2005-09-16,2006-03-05,N,2005.0,9.0
5,Syriana,50800000.0,2005-11-23,2006-03-05,W,2005.0,11.0
6,Crash,55382847.0,2005-05-06,2006-03-05,W,2005.0,5.0
7,Cinderella Man,61600000.0,2005-06-02,2006-03-05,N,2005.0,6.0
8,A History of Violence,31500000.0,2005-09-23,2006-03-05,N,2005.0,9.0
9,Mrs Henderson Presents,10965943.0,2005-09-08,2006-03-05,N,2005.0,9.0
10,Transamerica,8713873.0,2005-12-23,2006-03-05,N,2005.0,12.0
11,Pride,0.0,2014-09-12,2015-02-22,N,2014.0,9.0
12,North Country,18324242.0,2005-02-12,2006-03-05,N,2005.0,2.0
13,Junebug,2416555.0,2005-08-03,2006-03-05,N,2005.0,8.0
14,The Constant Gardener,33565375.0,2005-08-31,2006-03-05,W,2005.0,8.0
19,Blood Diamond,57300000.0,2006-12-07,2007-02-25,N,2006.0,12.0
20,Half Nelson,2591047.0,2006-08-11,2007-02-25,N,2006.0,8.0
21,Venus,3261449.0,2006-09-02,2007-02-25,N,2006.0,9.0
22,The Pursuit of Happyness,162586036.0,2006-12-14,2007-02-25,N,2006.0,12.0
23,The Last King of Scotland,17449410.0,2006-09-01,2007-02-25,W,2006.0,9.0
24,Little Miss Sunshine,59831476.0,2006-07-26,2007-02-25,W,2006.0,7.0
25,Little Children,5307219.0,2006-10-06,2007-02-25,N,2006.0,10.0
26,Dreamgirls,103300000.0,2006-12-25,2007-02-25,W,2006.0,12.0
27,The Departed,132300000.0,2006-10-05,2007-02-25,W,2006.0,10.0
28,Volver,12830604.0,2006-03-16,2007-02-25,N,2006.0,3.0
29,Notes on a Scandal,17400000.0,2006-12-25,2007-02-25,N,2006.0,12.0
30,The Queen,56222759.0,2006-09-15,2007-02-25,W,2006.0,9.0
31,The Devil Wears Prada,124700000.0,2006-06-30,2007-02-25,N,2006.0,6.0
32,Babel,34237104.0,2006-09-08,2007-02-25,W,2006.0,9.0
36,Michael Clayton,48976323.0,2007-09-28,2008-02-24,W,2007.0,9.0
37,There Will Be Blood,40133435.0,2007-12-28,2008-02-24,W,2007.0,12.0
38,Sweeney Todd: The Demon Barber of Fleet Street,52900000.0,2007-12-20,2008-02-24,W,2007.0,12.0
39,In the Valley of Elah,6585535.0,2007-08-31,2008-02-24,N,2007.0,8.0
40,Eastern Promises,17114882.0,2007-09-14,2008-02-24,N,2007.0,9.0
41,The Assassination of Jesse James by the Coward Robert Ford,3900000.0,2007-09-02,2008-02-24,N,2007.0,9.0
42,No Country for Old Men,74223625.0,2007-11-08,2008-02-24,W,2007.0,11.0
43,Charlie Wilson's War,66636385.0,2007-12-19,2008-02-24,N,2007.0,12.0
44,Into the Wild,18173360.0,2007-09-11,2008-02-24,N,2007.0,9.0
45,Elizabeth: The Golden Age,16264475.0,2007-09-09,2008-02-24,W,2007.0,9.0
46,Away from Her,15830046.0,2006-09-11,2007-02-25,N,2006.0,9.0
47,The Savages,6426953.0,2007-01-19,2008-02-24,N,2007.0,1.0
48,Juno,143380890.0,2007-12-05,2008-02-24,W,2007.0,12.0
49,American Gangster,130127620.0,2007-11-02,2008-02-24,N,2007.0,11.0
50,Atonement,50830581.0,2007-08-29,2008-02-24,W,2007.0,8.0
51,Gone Baby Gone,20300218.0,2007-10-19,2008-02-24,N,2007.0,10.0
54,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,128400000.0,2006-11-01,2007-02-25,N,2006.0,11.0
55,From Russia with Love,0.0,1963-10-11,2005-02-27,N,1963.0,10.0
56,The Visitor,9234510.0,2007-09-07,2008-02-24,N,2007.0,9.0
57,Frost/Nixon,18600000.0,2008-10-15,2009-02-22,N,2008.0,10.0
58,Milk,31716847.0,2008-11-26,2009-02-22,W,2008.0,11.0
59,The Curious Case of Benjamin Button,127490802.0,2008-12-25,2009-02-22,W,2008.0,12.0
60,The Wrestler,26136413.0,2008-09-07,2009-02-22,N,2008.0,9.0
61,Tropic Thunder,110416702.0,2008-08-09,2009-02-22,N,2008.0,8.0
62,Doubt,33422556.0,2008-11-27,2009-02-22,N,2008.0,11.0
63,The Dark Knight,533316061.0,2008-07-16,2009-02-22,W,2008.0,7.0
64,Revolutionary Road,22877808.0,2008-12-19,2009-02-22,N,2008.0,12.0
65,Rachel Getting Married,12748504.0,2008-10-03,2009-02-22,N,2008.0,10.0
66,Changeling,35707327.0,2008-01-30,2009-02-22,N,2008.0,1.0
67,Frozen River,2061019.0,2008-08-01,2009-02-22,N,2008.0,8.0
68,The Reader,34111418.0,2008-12-10,2009-02-22,W,2008.0,12.0
69,Vicky Cristina Barcelona,23164041.0,2008-08-15,2009-02-22,W,2008.0,8.0
75,Crazy Heart,38349555.0,2009-12-16,2010-03-07,W,2009.0,12.0
76,Up in the Air,83775048.0,2009-09-05,2010-03-07,N,2009.0,9.0
77,A Single Man,9098668.0,2009-10-19,2010-03-07,N,2009.0,10.0
78,Invictus,37431431.0,2009-12-10,2010-03-07,N,2009.0,12.0
79,The Hurt Locker,15700000.0,2008-10-10,2009-02-22,W,2008.0,10.0
80,The Messenger,1006655.0,2009-11-13,2010-03-07,N,2009.0,11.0
81,The Last Station,6500000.0,2009-09-04,2010-03-07,N,2009.0,9.0
82,The Lovely Bones,43982842.0,2009-12-26,2010-03-07,N,2009.0,12.0
83,Inglourious Basterds,120523073.0,2009-08-18,2010-03-07,W,2009.0,8.0
84,The Blind Side,255900000.0,2009-11-20,2010-03-07,W,2009.0,11.0
85,An Education,12512069.0,2009-10-29,2010-03-07,N,2009.0,10.0
86,Precious,47536959.0,2009-11-06,2010-03-07,W,2009.0,11.0
87,Nine,19628665.0,2009-12-03,2010-03-07,N,2009.0,12.0
93,Biutiful,5100937.0,2010-10-20,2011-02-27,N,2010.0,10.0
94,True Grit,171031347.0,2010-12-22,2011-02-27,N,2010.0,12.0
95,The Social Network,96400000.0,2010-10-01,2011-02-27,W,2010.0,10.0
96,The King's Speech,138300000.0,2010-09-06,2011-02-27,W,2010.0,9.0
97,127 Hours,18329466.0,2010-11-05,2011-02-27,N,2010.0,11.0
98,The Fighter,93571803.0,2010-12-17,2011-02-27,W,2010.0,12.0
99,Winter's Bone,6200000.0,2010-06-11,2011-02-27,N,2010.0,6.0
100,The Town,92173235.0,2010-09-15,2011-02-27,N,2010.0,9.0
101,The Kids Are All Right,20803237.0,2010-07-09,2011-02-27,N,2010.0,7.0
102,Rabbit Hole,2221809.0,2010-12-16,2011-02-27,N,2010.0,12.0
103,Black Swan,106952327.0,2010-12-03,2011-02-27,W,2010.0,12.0
104,Blue Valentine,9600000.0,2010-12-27,2011-02-27,N,2010.0,12.0
105,Animal Kingdom,1000000.0,2010-06-03,2011-02-27,N,2010.0,6.0
106,A Better Life,1754319.0,2011-06-24,2012-02-26,N,2011.0,6.0
107,The Descendants,78500000.0,2011-09-09,2012-02-26,W,2011.0,9.0
108,The Artist,44667095.0,2011-06-26,2012-02-26,W,2011.0,6.0
109,Tinker Tailor Soldier Spy,20200000.0,2011-09-16,2012-02-26,N,2011.0,9.0
110,Moneyball,75605492.0,2011-09-22,2012-02-26,N,2011.0,9.0
111,My Week with Marilyn,12600000.0,2011-11-23,2012-02-26,N,2011.0,11.0
112,Warrior,13600000.0,2011-09-09,2012-02-26,N,2011.0,9.0
113,Beginners,5764842.0,2011-06-09,2012-02-26,W,2011.0,6.0
114,Extremely Loud & Incredibly Close,31836745.0,2011-12-24,2012-02-26,N,2011.0,12.0
115,Albert Nobbs,3014541.0,2011-12-21,2012-02-26,N,2011.0,12.0
116,The Help,169705587.0,2011-08-09,2012-02-26,W,2011.0,8.0
117,The Girl with the Dragon Tattoo,102515793.0,2011-12-14,2012-02-26,W,2011.0,12.0
118,The Iron Lady,29959436.0,2011-12-30,2012-02-26,W,2011.0,12.0
119,Bridesmaids,166500000.0,2011-05-13,2012-02-26,N,2011.0,5.0
121,Rango,123188232.0,2011-03-02,2012-02-26,W,2011.0,3.0
124,Silver Linings Playbook,132088910.0,2012-09-08,2013-02-24,W,2012.0,9.0
125,Lincoln,129477447.0,2012-11-09,2013-02-24,W,2012.0,11.0
126,Les Misérables,148775460.0,2012-12-18,2013-02-24,W,2012.0,12.0
127,The Master,15800000.0,2012-09-07,2013-02-24,N,2012.0,9.0
128,Flight,89400000.0,2012-11-02,2013-02-24,N,2012.0,11.0
129,Argo,136019448.0,2012-10-11,2013-02-24,W,2012.0,10.0
130,Django Unchained,162804648.0,2012-12-25,2013-02-24,W,2012.0,12.0
131,Zero Dark Thirty,95720716.0,2012-12-19,2013-02-24,W,2012.0,12.0
132,Amour,6700000.0,2012-07-01,2013-02-24,W,2012.0,7.0
133,Beasts of the Southern Wild,12784397.0,2012-06-29,2013-02-24,N,2012.0,6.0
135,The Sessions,5997134.0,2012-05-02,2013-02-24,N,2012.0,5.0
136,Corpse Bride,53300000.0,2005-09-12,2006-03-05,N,2005.0,9.0
138,Nebraska,11348612.0,2013-09-21,2014-03-02,N,2013.0,9.0
139,The Wolf of Wall Street,91330760.0,2013-12-25,2014-03-02,N,2013.0,12.0
140,12 Years a Slave,50628650.0,2013-10-18,2014-03-02,W,2013.0,10.0
141,Dallas Buyers Club,23750994.0,2013-11-17,2014-03-02,W,2013.0,11.0
142,Captain Phillips,107100855.0,2013-10-10,2014-03-02,N,2013.0,10.0
143,Blue Jasmine,0.0,2013-07-25,2014-03-02,W,2013.0,7.0
144,Gravity,274084951.0,2013-10-03,2014-03-02,W,2013.0,10.0
145,Philomena,0.0,2013-11-01,2014-03-02,N,2013.0,11.0
146,August: Osage County,29202643.0,2013-12-26,2014-03-02,N,2013.0,12.0
149,Foxcatcher,9744477.0,2014-05-19,2015-02-22,N,2014.0,5.0
150,American Sniper,274377268.0,2014-12-11,2015-02-22,W,2014.0,12.0
151,The Imitation Game,0.0,2014-11-14,2015-02-22,W,2014.0,11.0
152,The Theory of Everything,35887263.0,2014-11-26,2015-02-22,W,2014.0,11.0
153,The Judge,35631470.0,2014-10-08,2015-02-22,N,2014.0,10.0
154,Boyhood,18859617.0,2014-06-05,2015-02-22,W,2014.0,6.0
155,Whiplash,0.0,2014-10-10,2015-02-22,W,2014.0,10.0
156,Still Alice,0.0,2014-12-05,2015-02-22,W,2014.0,12.0
157,Gone Girl,0.0,2014-10-01,2015-02-22,N,2014.0,10.0
158,Wild,24673716.0,2014-12-05,2015-02-22,N,2014.0,12.0
159,Into the Woods,89789227.0,2014-12-25,2015-02-22,N,2014.0,12.0
161,Trumbo,0.0,2015-10-27,2016-02-28,N,2015.0,10.0
162,The Martian,202313768.0,2015-09-30,2016-02-28,N,2015.0,9.0
163,The Revenant,0.0,2015-12-25,2016-02-28,W,2015.0,12.0
164,Steve Jobs,12403169.0,2015-10-09,2016-02-28,N,2015.0,10.0
165,The Danish Girl,0.0,2015-11-27,2016-02-28,W,2015.0,11.0
166,The Big Short,0.0,2015-12-11,2016-02-28,W,2015.0,12.0
167,Spotlight,0.0,2015-11-06,2016-02-28,W,2015.0,11.0
168,Bridge of Spies,0.0,2015-10-15,2016-02-28,W,2015.0,10.0
169,Creed,81157671.0,2015-11-25,2016-02-28,N,2015.0,11.0
170,Carol,8518148.0,2015-11-20,2016-02-28,N,2015.0,11.0
171,Room,14677654.0,2015-10-16,2016-02-28,W,2015.0,10.0
172,Joy,42581369.0,2015-12-24,2016-02-28,N,2015.0,12.0
173,45 Years,3489919.0,2015-08-28,2016-02-28,N,2015.0,8.0
174,Brooklyn,30459009.0,2015-10-20,2016-02-28,N,2015.0,10.0
175,The Hateful Eight,54116191.0,2015-12-25,2016-02-28,W,2015.0,12.0
183,Harry Potter and the Goblet of Fire,289994397.0,2005-11-16,2006-03-05,N,2005.0,11.0
184,King Kong,218100000.0,2005-12-12,2006-03-05,W,2005.0,12.0
185,Memoirs of a Geisha,57000000.0,2005-12-06,2006-03-05,W,2005.0,12.0
186,Batman Begins,204100000.0,2005-06-10,2006-03-05,N,2005.0,6.0
188,Charlie and the Chocolate Factory,206100000.0,2005-07-13,2006-03-05,N,2005.0,7.0
189,Munich,47379090.0,2005-12-23,2006-03-05,N,2005.0,12.0
190,Darwin's Nightmare,0.0,2004-09-01,2005-02-27,N,2004.0,9.0
191,Enron: The Smartest Guys in the Room,3886956.0,2005-04-22,2006-03-05,N,2005.0,4.0
192,Murderball,1328551.0,2005-07-22,2006-03-05,N,2005.0,7.0
193,Street Fight,0.0,2005-01-01,2006-03-05,N,2005.0,1.0
194,The Death of Kevin Carter: Casualty of the Bang Bang Club,0.0,2004-09-17,2005-02-27,N,2004.0,9.0
196,Paradise Now,1300000.0,2005-02-14,2006-03-05,N,2005.0,2.0
197,Tsotsi,2753840.0,2005-08-18,2006-03-05,W,2005.0,8.0
198,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291685219.0,2005-12-07,2006-03-05,W,2005.0,12.0
199,Star Wars: Episode III - Revenge of the Sith,0.0,2005-05-17,2006-03-05,N,2005.0,5.0
200,Badgered,0.0,2005-02-23,2006-03-05,N,2005.0,2.0
201,The Mysterious Geographic Explorations of Jasper Morello,0.0,2005-01-19,2006-03-05,N,2005.0,1.0
205,Our Time Is Up,0.0,2004-01-01,2005-02-27,N,2004.0,1.0
206,Six Shooter,0.0,2004-01-01,2005-02-27,W,2004.0,1.0
207,War of the Worlds,234141872.0,2005-06-28,2006-03-05,N,2005.0,6.0
208,Match Point,23100000.0,2005-10-26,2006-03-05,N,2005.0,10.0
209,The Squid and the Whale,7073391.0,2005-10-05,2006-03-05,N,2005.0,10.0
212,Cars,244052771.0,2006-06-08,2007-02-25,N,2006.0,6.0
213,Happy Feet,197800000.0,2006-11-16,2007-02-25,W,2006.0,11.0
214,Monster House,73661010.0,2006-07-21,2007-02-25,N,2006.0,7.0
215,The Good Shepherd,59839040.0,2006-12-11,2007-02-25,N,2006.0,12.0
216,Pirates of the Caribbean: Dead Man's Chest,423032628.0,2006-06-20,2007-02-25,W,2006.0,6.0
217,The Prestige,53100000.0,2006-10-19,2007-02-25,N,2006.0,10.0
218,The Black Dahlia,22518325.0,2006-09-15,2007-02-25,N,2006.0,9.0
219,Children of Men,35100000.0,2006-09-22,2007-02-25,N,2006.0,9.0
220,The Illusionist,39680302.0,2006-08-18,2007-02-25,N,2006.0,8.0
221,Marie Antoinette,15962471.0,2006-05-24,2007-02-25,W,2006.0,5.0
222,Letters from Iwo Jima,13600000.0,2006-12-19,2007-02-25,W,2006.0,12.0
223,United 93,31500000.0,2006-04-28,2007-02-25,N,2006.0,4.0
225,An Inconvenient Truth,23727472.0,2006-01-24,2007-02-25,W,2006.0,1.0
226,Iraq in Fragments,0.0,2006-01-21,2007-02-25,N,2006.0,1.0
227,Jesus Camp,900000.0,2006-09-15,2007-02-25,N,2006.0,9.0
228,The Blood of Yingzhou District,0.0,2006-06-13,2007-02-25,W,2006.0,6.0
232,Apocalypto,50772724.0,2006-12-07,2007-02-25,N,2006.0,12.0
233,Click,137340146.0,2006-06-22,2007-02-25,N,2006.0,6.0
234,The Good German,891721.0,2006-12-08,2007-02-25,N,2006.0,12.0
235,The Danish Poet,0.0,2006-02-15,2007-02-25,W,2006.0,2.0
237,The Little Matchgirl,0.0,2006-09-07,2007-02-25,N,2006.0,9.0
238,Maestro,0.0,2014-07-23,2015-02-22,N,2014.0,7.0
239,No Time for Nuts,0.0,2006-10-23,2007-02-25,N,2006.0,10.0
241,West Bank Story,0.0,2005-01-01,2006-03-05,W,2005.0,1.0
242,Poseidon,60600000.0,2006-05-12,2007-02-25,N,2006.0,5.0
243,Superman Returns,200100000.0,2006-06-28,2007-02-25,N,2006.0,6.0
245,Persepolis,4400000.0,2007-05-23,2008-02-24,N,2007.0,5.0
246,Ratatouille,112408657.0,2007-06-22,2008-02-24,W,2007.0,6.0
247,Surf's Up,58867694.0,2007-06-08,2008-02-24,N,2007.0,6.0
248,The Golden Compass,70100000.0,2007-12-04,2008-02-24,W,2007.0,12.0
249,Across the Universe,24343673.0,2007-09-14,2008-02-24,N,2007.0,9.0
250,No End in Sight,1250100.0,2007-07-27,2008-02-24,N,2007.0,7.0
251,Operation Homecoming: Writing the Wartime Experience,0.0,2007-02-09,2008-02-24,N,2007.0,2.0
252,Sicko,24333911.0,2007-05-18,2008-02-24,N,2007.0,5.0
253,Taxi to the Dark Side,0.0,2007-04-30,2008-02-24,W,2007.0,4.0
254,War Dance,0.0,2007-11-09,2008-02-24,N,2007.0,11.0
256,The Bourne Ultimatum,227400000.0,2007-08-03,2008-02-24,W,2007.0,8.0
257,The Counterfeiters,0.0,1948-05-28,2005-02-27,W,1948.0,5.0
258,12,0.0,2007-06-06,2008-02-24,N,2007.0,6.0
259,Norbit,95323496.0,2007-02-08,2008-02-24,N,2007.0,2.0
260,Pirates of the Caribbean: At World's End,309404152.0,2007-05-19,2008-02-24,N,2007.0,5.0
261,The Kite Runner,15690103.0,2007-10-14,2008-02-24,N,2007.0,10.0
262,3:10 to Yuma,53574088.0,2007-09-06,2008-02-24,N,2007.0,9.0
263,I Met the Walrus,0.0,2007-06-13,2008-02-24,N,2007.0,6.0
