,Movie,Rating,Release Date,Runtime,Metascore,IMDb Rating,Box Office,Awards,Production Company
283,Peter Pan,G,05 Feb 1953,77 min,76,7.3,N/A,2 nominations.,Walt Disney
284,Night at the Museum,PG,22 Dec 2006,108 min,48,6.4,"$249,300,000",2 wins & 8 nominations.,20th Century Fox
285,Transformers,PG-13,03 Jul 2007,144 min,61,7.1,"$319,014,499",Nominated for 3 Oscars. Another 20 wins & 41 nominations.,Dreamworks
286,Lars and the Real Girl,PG-13,02 Nov 2007,106 min,70,7.3,"$5,802,820",Nominated for 1 Oscar. Another 7 wins & 32 nominations.,MGM/Sidney Kimmel Entertainment
287,Michael Shannon Michael Shannon John,N/A,03 Mar 2016,80 min,N/A,6.4,N/A,N/A,N/A
288,One Day,PG-13,19 Aug 2011,107 min,48,7.0,"$13,766,014",1 win & 2 nominations.,Focus Features
289,Bolt,PG,21 Nov 2008,96 min,67,6.9,"$114,053,579",Nominated for 1 Oscar. Another 1 win & 30 nominations.,Walt Disney Pictures
290,Kung Fu Panda,PG,06 Jun 2008,92 min,73,7.6,"$215,395,021",Nominated for 1 Oscar. Another 14 wins & 37 nominations.,Paramount Pictures
291,Wall Street,R,11 Dec 1987,126 min,56,7.4,N/A,Won 1 Oscar. Another 9 wins & 4 nominations.,20th Century Fox
292,The Duchess,PG-13,10 Oct 2008,110 min,62,6.9,"$13,800,000",Won 1 Oscar. Another 7 wins & 21 nominations.,Paramount Vantage
293,Slumdog Millionaire,R,25 Dec 2008,120 min,86,8.0,"$141,243,551",Won 8 Oscars. Another 144 wins & 126 nominations.,Fox Searchlight Pictures
294,Australia,PG-13,26 Nov 2008,165 min,53,6.6,"$49,420,849",Nominated for 1 Oscar. Another 11 wins & 35 nominations.,20th Century Fox
295,The Betrayal - Nerakhoon,N/A,21 Nov 2008,96 min,78,7.3,N/A,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,The Cinema Guild
296,Encounters at the End of the World,G,18 Jul 2008,99 min,80,7.8,"$723,966",Nominated for 1 Oscar. Another 2 wins & 14 nominations.,ThinkFilm
297,The Secret Garden,G,13 Aug 1993,101 min,N/A,7.3,N/A,Nominated for 1 BAFTA Film Award. Another 3 wins & 5 nominations.,WARNER BROTHERS PICTURES
298,Man on Wire,PG-13,29 Aug 2008,94 min,89,7.8,"$2,600,296",Won 1 Oscar. Another 45 wins & 11 nominations.,Magnolia Pictures
299,Trouble the Water,UNRATED,05 Dec 2008,93 min,83,7.4,"$146,384",Nominated for 1 Oscar. Another 7 wins & 13 nominations.,Zeitgeist Films
300,The Conscience of Nhem En,N/A,22 Aug 2008,34 min,N/A,7.9,N/A,N/A,N/A
301,Smile Pinki,N/A,17 Jun 2008,39 min,N/A,8.1,N/A,Won 1 Oscar. Another 4 nominations.,Principe
302,Front of the Class,PG,07 Dec 2008,95 min,N/A,8.2,N/A,N/A,N/A
303,Departures,PG-13,19 Jun 2009,130 min,68,8.1,"$1,500,000",Won 1 Oscar. Another 33 wins & 8 nominations.,Regent Releasing
304,Revanche,NOT RATED,16 May 2008,121 min,84,7.6,N/A,Nominated for 1 Oscar. Another 13 wins & 7 nominations.,Janus Films
305,Hellboy II: The Golden Army,PG-13,11 Jul 2008,120 min,78,7.0,"$75,754,670",Nominated for 1 Oscar. Another 5 wins & 28 nominations.,Universal Pictures
306,Defiance,R,16 Jan 2009,137 min,58,7.2,"$28,622,873",Nominated for 1 Oscar. Another 2 wins & 4 nominations.,Paramount Vantage
307,Oktapodi,N/A,07 Oct 2015,3 min,N/A,7.3,N/A,Nominated for 1 Oscar. Another 5 wins & 1 nomination.,N/A
308,Presto,G,27 Jun 2008,5 min,N/A,8.4,N/A,Nominated for 1 Oscar. Another 1 nomination.,Pixar Animation Studios
309,This Way Up,TV-G,N/A,9 min,N/A,7.0,N/A,Nominated for 1 Oscar. Another 5 wins & 2 nominations.,N/A
310,The Only Living Boy in New York,R,11 Aug 2017,89 min,33,6.3,"$622,999",N/A,Amazon Studios/Roadside Attractions
311,Babe: Pig in the City,G,25 Nov 1998,97 min,68,5.8,N/A,Nominated for 1 Oscar. Another 1 win & 16 nominations.,Universal Studios
312,Iron Man,PG-13,02 May 2008,126 min,79,7.9,"$318,298,180",Nominated for 2 Oscars. Another 20 wins & 65 nominations.,Paramount Pictures
313,Wanted,R,27 Jun 2008,110 min,64,6.7,"$134,294,280",Nominated for 2 Oscars. Another 4 wins & 20 nominations.,Universal Pictures
314,Happy-Go-Lucky,R,21 Nov 2008,118 min,84,7.0,"$3,494,485",Nominated for 1 Oscar. Another 39 wins & 59 nominations.,Miramax Films
315,In Bruges,R,29 Feb 2008,107 min,67,7.9,"$7,550,836",Nominated for 1 Oscar. Another 24 wins & 53 nominations.,Focus Features
316,The Nutty Professor,PG-13,28 Jun 1996,95 min,62,5.6,N/A,Won 1 Oscar. Another 9 wins & 12 nominations.,Universal Pictures
317,Meeting Matt Damon,N/A,28 Sep 2015,9 min,N/A,N/A,N/A,N/A,N/A
318,Premonition,PG-13,16 Mar 2007,96 min,29,5.9,"$47,852,604",2 nominations.,Sony
319,Coraline,PG,06 Feb 2009,100 min,80,7.7,"$75,169,351",Nominated for 1 Oscar. Another 7 wins & 43 nominations.,Focus Features
320,Fantastic Mr. Fox,PG,25 Nov 2009,87 min,83,7.8,"$21,000,000",Nominated for 2 Oscars. Another 32 wins & 60 nominations.,20th Century Fox
321,The Princess and the Frog,G,11 Dec 2009,97 min,73,7.1,"$104,374,107",Nominated for 3 Oscars. Another 11 wins & 38 nominations.,Walt Disney Pictures
322,The Secret of Kells,NOT RATED,22 Jun 2016,75 min,81,7.7,"$686,383",Nominated for 1 Oscar. Another 7 wins & 5 nominations.,GKIDS
323,Up,PG,29 May 2009,96 min,88,8.3,"$292,979,556",Won 2 Oscars. Another 74 wins & 81 nominations.,Walt Disney Pictures
324,Avatar,PG-13,18 Dec 2009,162 min,83,7.8,"$749,700,000",Won 3 Oscars. Another 85 wins & 128 nominations.,20th Century Fox
325,The Imaginarium of Doctor Parnassus,PG-13,08 Jan 2010,123 min,65,6.8,"$7,504,196",Nominated for 2 Oscars. Another 5 wins & 21 nominations.,Sony Pictures Classics
326,Sherlock Holmes,PG-13,25 Dec 2009,128 min,57,7.6,"$208,711,166",Nominated for 2 Oscars. Another 10 wins & 27 nominations.,Warner Bros. Pictures/Village Roadshow
327,The Young Victoria,PG,08 Jan 2010,105 min,64,7.3,"$10,900,000",Won 1 Oscar. Another 12 wins & 17 nominations.,Apparition
328,Harry Potter and the Half-Blood Prince,PG,15 Jul 2009,153 min,78,7.6,"$301,920,409",Nominated for 1 Oscar. Another 8 wins & 35 nominations.,Warner Bros. Pictures
329,Bright Star,PG,09 Oct 2009,119 min,81,7.0,"$4,341,275",Nominated for 1 Oscar. Another 16 wins & 52 nominations.,Apparition Films
330,The Cove,PG-13,07 Aug 2009,92 min,84,8.5,"$619,467",Won 1 Oscar. Another 39 wins & 17 nominations.,Roadside Attractions
331,"Food, Inc.",PG,31 Jul 2009,94 min,80,7.8,"$4,238,694",Nominated for 1 Oscar. Another 7 wins & 19 nominations.,Magnolia Pictures
332,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,N/A,17 Oct 2009,92 min,75,7.8,"$453,483",Nominated for 1 Oscar. Another 5 wins & 2 nominations.,First Run Features
333,Which Way Home,N/A,31 Jan 2009,90 min,N/A,7.9,N/A,Nominated for 1 Oscar. Another 3 wins & 4 nominations.,HBO Films
334,China's Unnatural Disaster: The Tears of Sichuan Province,N/A,21 Jan 2010,38 min,N/A,7.5,N/A,Nominated for 1 Oscar. Another 2 wins & 1 nomination.,HBO
335,The Last Truck: Closing of a GM Plant,NOT RATED,29 Nov 2012,40 min,N/A,7.0,N/A,Nominated for 1 Oscar. Another 1 win & 2 nominations.,HBO
336,Music by Prudence,N/A,12 May 2010,32 min,N/A,7.5,N/A,Won 1 Oscar. Another 1 nomination.,HBO Films
337,District 9,R,14 Aug 2009,112 min,81,7.9,"$115,646,235",Nominated for 4 Oscars. Another 30 wins & 110 nominations.,Sony Pictures/Screen Gems
338,Ajami,NOT RATED,17 Sep 2009,124 min,82,7.4,"$500,000",Nominated for 1 Oscar. Another 15 wins & 9 nominations.,Kino International
339,Il Divo,NOT RATED,28 May 2008,110 min,81,7.3,"$200,000",Nominated for 1 Oscar. Another 30 wins & 36 nominations.,Music Box Films
340,Star Trek,PG-13,08 May 2009,127 min,82,8.0,"$257,704,099",Won 1 Oscar. Another 23 wins & 92 nominations.,IMAX
341,A Serious Man,R,06 Nov 2009,106 min,79,7.0,"$9,190,525",Nominated for 2 Oscars. Another 17 wins & 72 nominations.,Focus Features
342,French Roast,TV-PG,19 Feb 2010,8 min,N/A,7.1,N/A,Nominated for 1 Oscar. Another 9 wins & 7 nominations.,N/A
343,Granny O'Grimm's Sleeping Beauty,NOT RATED,31 May 2008,6 min,N/A,6.4,N/A,Nominated for 1 Oscar. Another 1 win.,N/A
344,The Lady and the Reaper (La dama y la muerte),TV-G,19 Feb 2010,8 min,N/A,7.2,N/A,N/A,N/A
345,Logorama,R,05 Oct 2011,16 min,N/A,7.6,N/A,Won 1 Oscar. Another 8 wins & 5 nominations.,N/A
346,A Matter of Loaf and Death,N/A,01 Jan 2010,30 min,N/A,7.6,N/A,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,LionsGate Entertainment
347,The Girl Next Door,R,09 Apr 2004,109 min,47,6.7,"$14,544,008",2 wins & 4 nominations.,20th Century Fox
348,Instead of Abracadabra,N/A,12 Mar 2010,22 min,N/A,7.3,N/A,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,N/A
349,Miracle Fish,TV-PG,12 Mar 2010,17 min,N/A,7.2,N/A,Nominated for 1 Oscar. Another 12 wins.,Blue-Tongue Films
350,The New Tenants,TV-14,06 Mar 2010,21 min,N/A,6.7,N/A,Won 1 Oscar. Another 3 nominations.,Park Pictures
351,Transformers: Revenge of the Fallen,PG-13,24 Jun 2009,150 min,35,6.0,"$402,076,689",Nominated for 1 Oscar. Another 15 wins & 27 nominations.,Paramount/Dreamworks
352,In the Loop,NOT RATED,04 Sep 2009,106 min,83,7.5,"$2,251,324",Nominated for 1 Oscar. Another 16 wins & 41 nominations.,IFC
353,Roger Corman: Hollywood's Wild Angel,N/A,07 Apr 1978,60 min,N/A,6.7,N/A,1 nomination.,N/A
354,Comedy Central Roast of James Franco,TV-MA,02 Sep 2013,70 min,N/A,7.8,N/A,N/A,N/A
355,Natalie Portman: Starting Young,N/A,11 Jan 2005,14 min,N/A,7.4,N/A,N/A,N/A
356,How to Train Your Dragon,PG,26 Mar 2010,98 min,74,8.1,"$216,900,000",Nominated for 2 Oscars. Another 25 wins & 60 nominations.,Paramount/DWA
357,Toy Story 3,G,18 Jun 2010,103 min,92,8.3,"$414,984,497",Won 2 Oscars. Another 58 wins & 91 nominations.,Walt Disney Pictures
358,Alice in Wonderland,PG,05 Mar 2010,108 min,53,6.5,"$319,323,000",Won 2 Oscars. Another 31 wins & 62 nominations.,Walt Disney Pictures
359,Harry Potter and the Deathly Hallows: Part 1,PG-13,19 Nov 2010,146 min,65,7.7,"$294,980,434",Nominated for 2 Oscars. Another 15 wins & 53 nominations.,Warner Bros. Pictures
360,Inception,PG-13,16 Jul 2010,148 min,74,8.8,"$292,568,851",Won 4 Oscars. Another 152 wins & 204 nominations.,Warner Bros. Pictures
361,The Tempest,PG-13,07 Jan 2011,110 min,43,5.4,"$277,515",Nominated for 1 Oscar. Another 2 wins & 3 nominations.,Touchstone Pictures/Miramax Films
362,Exit Through the Gift Shop,R,14 May 2010,87 min,85,8.0,"$3,288,699",Nominated for 1 Oscar. Another 24 wins & 28 nominations.,Abarorama
363,GasLand,NOT RATED,17 Jan 2011,107 min,N/A,7.7,"$30,846",Nominated for 1 Oscar. Another 7 wins & 6 nominations.,Independent Pictures
364,Inside Job,PG-13,12 Nov 2010,109 min,88,8.3,"$4,311,834",Won 1 Oscar. Another 7 wins & 26 nominations.,Sony Pictures Classics
365,Restrepo,R,06 Aug 2010,93 min,85,7.5,"$1,330,894",Nominated for 1 Oscar. Another 10 wins & 19 nominations.,National Geographic
366,Waste Land,NOT RATED,21 Jan 2011,99 min,78,7.9,"$100,000",Nominated for 1 Oscar. Another 27 wins & 10 nominations.,Arthouse Films
367,Strangers No More,N/A,27 Feb 2011,40 min,N/A,7.5,N/A,N/A,Simon & Goodman Picture Company
368,Hævnen,N/A,17 Jul 1909,N/A,N/A,N/A,N/A,N/A,N/A
369,Incendies,R,12 Jan 2011,131 min,80,8.2,"$6,857,096",Nominated for 1 Oscar. Another 39 wins & 15 nominations.,Sony Pictures Classics
370,Bandits en automobile - Épisode 2: Hors-la-loi,N/A,N/A,N/A,N/A,6.3,N/A,N/A,N/A
371,Barney's Version,R,18 Feb 2011,134 min,67,7.3,"$7,501,404",Nominated for 1 Oscar. Another 18 wins & 18 nominations.,Sony Classics
372,The Way Way Back,PG-13,26 Jul 2013,103 min,68,7.4,"$21,501,098",5 wins & 30 nominations.,Fox Searchlight
373,The Wolfman,R,12 Feb 2010,103 min,43,5.8,"$61,937,495",Won 1 Oscar. Another 3 wins & 8 nominations.,Universal Pictures
374,Groundhog Day,PG,12 Feb 1993,101 min,72,8.0,N/A,Won 1 BAFTA Film Award. Another 6 wins & 17 nominations.,Columbia Pictures
375,The Gruffalo,NOT RATED,09 Dec 2010,27 min,N/A,7.5,N/A,Nominated for 1 Oscar. Another 7 wins & 3 nominations.,Phase 4 Films
376,The Lost Thing,NOT RATED,11 Feb 2011,15 min,N/A,7.4,N/A,Won 1 Oscar. Another 8 wins & 2 nominations.,N/A
377,The Crush,R,02 Apr 1993,89 min,N/A,5.8,N/A,2 wins & 3 nominations.,Warner Home Video
378,"Eros, O Deus do Amor",N/A,N/A,107 min,N/A,6.3,N/A,5 wins.,N/A
379,Na Wewe,N/A,11 Feb 2011,19 min,N/A,6.9,N/A,Nominated for 1 Oscar. Another 1 win.,Radio Télévision Belge Francophone
380,Wish 143,N/A,11 Feb 2011,24 min,N/A,7.3,N/A,Nominated for 1 Oscar. Another 3 wins.,N/A
381,TRON: Legacy,PG,17 Dec 2010,125 min,49,6.8,"$172,051,787",Nominated for 1 Oscar. Another 10 wins & 49 nominations.,Walt Disney Pictures
382,Unstoppable,PG-13,12 Nov 2010,98 min,69,6.8,"$81,557,479",Nominated for 1 Oscar. Another 1 win & 13 nominations.,20th Century Fox
383,Salt,PG-13,23 Jul 2010,100 min,65,6.4,"$118,311,368",Nominated for 1 Oscar. Another 4 wins & 15 nominations.,Sony Pictures
384,Hereafter,PG-13,22 Oct 2010,129 min,56,6.5,"$32,741,596",Nominated for 1 Oscar. Another 4 wins & 13 nominations.,Warner Bros. Pictures
385,Iron Man 2,PG-13,07 May 2010,124 min,57,7.0,"$312,057,433",Nominated for 1 Oscar. Another 7 wins & 42 nominations.,Paramount Studios
386,Another Year,PG-13,04 Feb 2011,129 min,80,7.3,"$3,200,000",Nominated for 1 Oscar. Another 22 wins & 53 nominations.,Sony Classics
387,Jean-Luc Cinema Godard,N/A,01 Oct 2009,24 min,N/A,6.8,N/A,N/A,N/A
388,Hearts of Darkness: A Filmmaker's Apocalypse,R,06 Dec 1991,96 min,N/A,8.2,N/A,Won 2 Primetime Emmys. Another 6 wins & 5 nominations.,Showtime Network
389,Nick Nolte: No Exit,N/A,06 Jul 2008,74 min,N/A,6.7,N/A,N/A,N/A
390,Max Von Sydow: Dialogues with The Renter,N/A,27 Mar 2012,44 min,N/A,6.9,N/A,N/A,N/A
391,Une vie de chat,N/A,09 Sep 2004,180 min,N/A,N/A,N/A,N/A,N/A
392,Chico,N/A,17 Jan 2002,112 min,N/A,7.1,N/A,5 wins & 3 nominations.,N/A
393,Kung Fu Panda 2,PG,26 May 2011,90 min,67,7.2,"$165,230,261",Nominated for 1 Oscar. Another 5 wins & 46 nominations.,Paramount Studios/Dreamworks
394,Puss in Boots,PG,28 Oct 2011,90 min,65,6.6,"$149,234,747",Nominated for 1 Oscar. Another 9 wins & 42 nominations.,Paramount/Dreamworks
395,Harry Potter and the Deathly Hallows: Part 2,PG-13,15 Jul 2011,130 min,87,8.1,"$381,000,185",Nominated for 3 Oscars. Another 45 wins & 91 nominations.,Warner Bros. Pictures
396,Hugo,PG,23 Nov 2011,126 min,83,7.5,"$73,820,094",Won 5 Oscars. Another 57 wins & 186 nominations.,Paramount Studios
397,Midnight in Paris,PG-13,10 Jun 2011,94 min,81,7.7,"$55,400,000",Won 1 Oscar. Another 24 wins & 101 nominations.,Sony Pictures Classics
398,War Horse,PG-13,25 Dec 2011,146 min,72,7.2,"$79,883,359",Nominated for 6 Oscars. Another 15 wins & 70 nominations.,Walt Disney Pictures
399,The Tree of Life,PG-13,17 May 2011,139 min,85,6.8,"$13,303,319",Nominated for 3 Oscars. Another 111 wins & 117 nominations.,Fox Searchlight
400,Anonymous,PG-13,28 Oct 2011,130 min,50,6.9,"$4,463,292",Nominated for 1 Oscar. Another 7 wins & 8 nominations.,Sony Pictures
401,Jane Eyre,PG-13,22 Apr 2011,120 min,76,7.4,N/A,Nominated for 1 Oscar. Another 10 wins & 14 nominations.,Focus Features
402,W.E.,R,20 Jan 2012,119 min,37,6.3,"$582,075",Nominated for 1 Oscar. Another 4 wins & 4 nominations.,The Weinstein Company
403,Hell and Back Again,NOT RATED,05 Oct 2011,88 min,81,6.5,"$37,539",Nominated for 1 Oscar. Another 4 wins & 8 nominations.,Docurama Films
404,If a Tree Falls: A Story of the Earth Liberation Front,UNRATED,01 Jan 2011,85 min,65,7.2,"$61,153",Nominated for 1 Oscar. Another 6 wins & 3 nominations.,Oscilloscope
405,Paradise Lost 3: Purgatory,NOT RATED,13 Oct 2012,121 min,85,8.1,N/A,Nominated for 1 Oscar. Another 5 wins & 5 nominations.,@radical.media
406,Pina,PG,24 Feb 2011,103 min,83,7.7,"$3,520,458",Nominated for 1 Oscar. Another 10 wins & 24 nominations.,IFC Films
407,Undefeated,PG-13,03 Aug 2012,113 min,71,7.8,"$561,054",Won 1 Oscar. Another 3 wins & 8 nominations.,The Weinstein Company
408,The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,N/A,N/A,25 min,N/A,7.2,N/A,Nominated for 1 Oscar. Another 2 wins & 1 nomination.,N/A
409,God Is the Bigger Elvis,N/A,01 Apr 2012,37 min,N/A,7.1,N/A,Nominated for 1 Oscar. Another 1 win & 2 nominations.,HBO Documentary Films
410,Incident in New Baghdad,N/A,24 Apr 2011,22 min,N/A,6.6,N/A,Nominated for 1 Oscar. Another 4 wins.,Morninglight Films
411,Saving Face,R,24 Jun 2005,91 min,65,7.5,"$1,000,385",3 wins & 3 nominations.,Sony Pictures Classics
412,The Tsunami and the Cherry Blossom,N/A,20 Jan 2012,39 min,N/A,7.8,N/A,Nominated for 1 Oscar. Another 2 wins & 3 nominations.,N/A
413,In Darkness,R,05 Jan 2012,145 min,74,7.3,"$1,038,733",Nominated for 1 Oscar. Another 10 wins & 17 nominations.,Sony Pictures
414,Monsieur Lazhar,PG-13,07 Mar 2012,94 min,82,7.5,"$2,009,041",Nominated for 1 Oscar. Another 30 wins & 12 nominations.,Music Box Films
415,The Adventures of Tintin,PG,21 Dec 2011,107 min,68,7.3,"$75,300,000",Nominated for 1 Oscar. Another 21 wins & 60 nominations.,Paramount
416,Any Given Sunday,R,22 Dec 1999,162 min,52,6.9,N/A,3 wins & 9 nominations.,Warner Bros. Pictures
417,The Fantastic Flying Books of Mr. Morris Lessmore,TV-G,24 Sep 2014,15 min,N/A,8.0,N/A,Won 1 Oscar. Another 6 wins & 1 nomination.,N/A
418,La Luna,G,22 Jun 2012,7 min,N/A,8.0,N/A,Nominated for 1 Oscar. Another 1 nomination.,Disney Pixar
419,Pentecost,N/A,04 Mar 2011,11 min,N/A,6.7,N/A,Nominated for 1 Oscar. Another 1 nomination.,EMU Productions
420,Raju Gadu,N/A,01 Jun 2018,N/A,N/A,N/A,N/A,N/A,N/A
421,Love at the Shore,TV-G,29 Jul 2017,84 min,N/A,6.5,N/A,N/A,Crown Media Productions
422,Time Freak,N/A,09 Nov 2018,104 min,N/A,5.8,N/A,N/A,Lionsgate
423,Tuba Atlantic,N/A,01 Jun 2010,25 min,N/A,7.5,N/A,Nominated for 1 Oscar. Another 5 wins.,The Norwegian Film School
424,Drive,R,16 Sep 2011,100 min,78,7.8,"$34,300,000",Nominated for 1 Oscar. Another 77 wins & 170 nominations.,FilmDistrict
